,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
4,1.0,1573.44416750675,1434.0444564124268,0,2.0,1.0,1.5108944000000002,1.0288781999999999,11.8,10.8,1.8,2.0,0.2,0.0,8.8,7.4,0.9099483963102102,0.6483656339347362,3.7832721754908563,2.478979467600584,2.7241603888571264,1.5533091098070144,0.8768585999999999,273.8,25.0,4.2,1.22138,0.8,1.0548378,194.8,24.2,7.8,1544.5503752907468,1485.1860651763313
5,2.0,1545.8242413554813,1395.714904323521,1,2.2,1.2,1.4687434,0.8983884,11.8,9.4,1.4,2.0,0.2,0.0,9.2,7.2,0.906348655745387,0.5831650044769049,3.455449514836073,2.3419817378744483,2.5172884456813334,1.5013843359425665,0.7463687999999999,271.2,25.0,4.6,1.1223800000000002,0.8,1.0126868000000002,195.8,22.0,7.8,1553.7152235618432,1464.3290460410358
6,1.0,1557.6835893513658,1550.119908217777,0,1.6,1.2,0.9233554000000002,1.2086068,10.4,11.4,1.8,1.6,0.2,0.0,8.2,8.4,0.6760936107486486,0.8672849602997303,2.212498676404357,2.74540338460356,1.4005010824650526,1.5335726166144013,1.0565871999999998,263.8,23.6,4.4,1.5537199999999998,1.0,0.7713368,190.0,22.8,7.2,1561.2519414321164,1478.353027684591
7,2.0,1557.2482576363614,1461.4250467021936,1,1.4,1.2,0.9927934,1.4991282,10.8,11.6,1.2,1.4,0.0,0.0,8.6,9.0,0.735421710461378,0.9431192262098194,2.5921285334974526,3.5478493187576534,1.49006035476923,1.9688743345439434,1.3471085999999999,274.6,23.2,4.6,1.7546199999999998,1.0,0.9927934,219.4,20.8,5.6,1562.503955832061,1466.6380370250297
8,0.0,1571.8679632543035,1422.0882575156745,0,1.2,1.2,0.8444649999999999,1.3838408000000002,8.6,11.4,1.6,1.2,0.0,0.0,6.8,9.0,0.6280535720288754,0.9186216982081532,1.8772882882505655,3.143074903637171,0.8933486945927143,1.6797631856054067,1.2318212000000002,279.6,25.6,5.2,1.75962,1.4,0.8444649999999999,221.8,19.6,4.6,1561.2136438208524,1452.6785146343186
9,1.0,1543.74314875371,1458.9920601380563,1,1.2,1.0,1.0643914,1.1668386,9.6,11.4,1.6,1.8,0.0,0.0,7.0,8.8,0.6582529239356518,0.837448682077229,1.830932790786028,3.0156502917408945,0.8300451681017875,1.5814500268548728,1.1668386,272.0,26.6,4.6,1.3656199999999998,1.0,0.9123716,233.4,17.4,3.8,1555.2734400702443,1457.6680353794445
10,0.0,1538.9590006872022,1593.4700428626234,0,0.8,1.4,1.0467304,1.5464943999999998,9.8,12.0,1.6,1.8,0.2,0.2,7.0,9.2,0.6308410808444023,0.9027843115851283,1.7249687645584344,3.557950164936483,0.8124787382781505,2.076481825299561,1.2424567999999998,264.2,28.2,5.4,1.6964399999999997,1.6,0.8947106,278.6,20.0,3.4,1553.9003919365884,1497.219063087265
11,2.0,1509.405720112382,1469.8277546567658,1,1.0,1.4,1.1644544,1.3180258,11.8,10.2,1.0,2.4,0.2,0.2,8.2,8.0,0.722863033413887,0.7041475420817733,2.386571413651109,3.145054339058697,1.2145950712263585,1.877466113306582,1.0139881999999998,263.0,28.4,5.6,1.42046,1.4,1.0124346,275.2,19.0,4.2,1544.2448180887918,1481.1606323750625
12,2.0,1527.1372331599869,1441.8804149918399,0,1.0,1.4,1.1206764,1.0699318,11.4,9.2,1.4,2.6,0.2,0.2,7.6,6.8,0.7626555463299155,0.5296021785587073,2.769965061172843,2.010699661448598,1.7277092467993498,1.2247298642992974,0.6138745999999999,250.4,30.2,5.0,1.22966,1.4,0.9686566000000001,246.2,20.0,4.6,1538.222613193517,1477.251706032992
13,1.0,1542.3256483344524,1614.7584319576827,0,1.2,1.8,1.189571,1.5804392,11.4,13.0,1.2,2.2,0.2,0.2,8.0,9.6,0.8495826499536634,0.9732483696192503,2.9206149984151124,4.164791218936443,1.7791093036532402,2.6643975716084243,1.124382,207.6,29.6,5.6,1.52338,1.4,1.0375511999999998,260.6,21.6,4.4,1532.3141502095466,1515.7857409213934
