,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
4,1.0,1190.918952087371,1462.703024097109,0,0.6,1.4,0.8544074,1.457282,13.4,15.6,3.0,2.0,0.6,0.2,9.4,11.8,0.43321044463664293,0.9310485560446977,1.8098577857017517,3.2573651395738126,1.0391307828947902,1.9443777974694967,1.1555706000000001,188.6,20.6,8.4,1.8624199999999997,2.2,0.703552,211.2,17.4,5.0,1201.6450029762757,1454.1634401142755
5,1.0,1203.9989622813523,1189.6277879729132,1,0.8,1.2,0.9994956,1.1756646,13.2,14.4,3.8,2.6,0.6,0.2,8.8,10.6,0.5434573080390692,0.6978294230997563,1.9577258406206965,2.0293905630707743,1.001226199232042,1.1197619508951902,0.8739532000000001,180.4,19.4,4.6,1.51868,1.8,0.8486402,182.6,18.2,4.8,1201.3199393186617,1372.710509205655
6,1.0,1203.1721624704817,1410.1841628138452,0,0.8,1.6,0.9671376,1.3200825999999999,13.0,13.4,3.8,2.4,0.6,0.2,8.2,9.6,0.5498699143528938,0.6970686377957463,1.9321643410250544,2.3218852393329144,1.0764266861602665,1.4316184796392917,0.8675152,166.8,19.0,4.6,1.6831800000000001,2.2,0.8162822000000001,194.6,18.2,5.2,1201.9713094975764,1368.7265265038616
7,2.0,1189.1943982066728,1582.329647546482,0,1.2,2.8,1.0297564,2.1186866,10.2,18.0,2.6,2.0,0.6,0.0,6.0,12.8,0.4785706950351596,1.378868898935616,1.6557326206937433,5.387787323072553,0.8938781948760152,3.4702622797340155,1.6357766000000002,147.0,19.4,9.6,1.8691200000000001,2.2,0.7280462,219.6,17.2,4.6,1197.5069308963098,1410.3595703954127
8,1.0,1181.6561457131825,1519.6857918071946,1,1.2,2.4,1.0515484000000002,2.1551446,10.0,19.8,3.2,1.6,0.2,0.0,5.6,14.6,0.4475169925019145,1.5420215979218483,2.0000169020146132,5.597693218663335,1.044268561527133,3.5356899183243513,1.8230906,147.6,16.8,10.4,1.87572,1.6,0.9006936,233.6,18.2,4.6,1193.788124151812,1432.906082847509
9,1.0,1216.6559046945285,1628.8106432254351,0,1.2,2.6,1.2431016,2.2580326000000004,11.6,18.0,3.4,1.4,0.0,0.0,7.0,13.2,0.6672532392665744,1.649406730942428,3.0019497137516735,5.843806761875749,1.5962025422602892,3.6602763272821903,1.9259786,164.6,18.0,10.8,1.79434,2.0,1.0922468,233.8,19.4,5.4,1198.9355146732437,1466.1276066731741
10,2.0,1213.2443157151624,1598.6996572615005,1,1.4,3.0,1.3098836,2.6384,12.6,18.4,3.8,1.4,0.0,0.0,9.2,13.4,0.7538109442219139,1.789492373354733,3.5592731669545175,5.980994946882129,1.9974899288266896,3.4889670975506304,2.15549,143.6,18.4,12.2,2.05534,2.4,1.1590288,273.8,19.4,6.8,1200.7845853600056,1547.9419805308914
11,2.0,1209.3215295360683,1516.2319015980654,0,1.6,2.4,1.4635816,2.576804,13.0,19.2,3.8,1.6,0.0,0.2,9.6,14.6,0.7996539497748018,1.881605887040496,3.6668838866055014,6.708397837728262,1.8579818934202195,3.826057558506727,2.2447500000000002,148.6,20.2,12.4,1.8751600000000004,1.8,1.3127268,265.2,18.0,6.6,1202.014458773123,1569.1515282877356
12,0.0,1260.564473266082,1745.0763441760012,1,1.2,1.4,1.4075244,1.793384,14.0,15.4,3.8,2.2,0.0,0.2,10.0,12.2,0.8605367928743363,1.4320702023804188,3.666843683645129,4.605463658645749,1.8650488667190075,2.578272821381688,1.642528,161.2,19.8,8.6,1.68706,1.8,1.4075244,262.8,18.4,7.2,1216.2884737850047,1601.7008676136393
13,2.0,1257.089427398062,1508.62163984442,1,1.4,1.4,1.3573184,1.6080717999999998,15.0,13.2,3.6,2.2,0.0,0.2,9.8,11.2,0.8107262974604964,1.3089240336790682,3.402291951328516,4.237666183337569,1.6990239571779966,2.3354509096592664,1.4572158,157.6,19.8,6.4,1.5679400000000001,1.8,1.3573184,255.8,18.4,6.4,1231.3751301219806,1599.4880372210844
