,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
4,1.0,1491.4420255129398,1473.0209169413588,0,0.4,0.6,1.1851472,0.9641714,17.0,13.8,2.6,2.6,0.0,0.2,13.2,10.0,0.9803842345252634,0.8379143444821239,3.97158044911921,2.9319311194121838,2.3795897502452137,1.4585702987387776,0.9641714,275.6,18.2,3.8,1.16866,1.2,1.1851472,188.0,26.2,7.6,1485.0838132604217,1486.454485978555
5,3.0,1490.3826137963642,1519.8194188040625,1,1.0,0.2,1.5336560000000001,0.6395892,18.0,12.6,2.2,2.4,0.0,0.2,14.2,8.6,1.2409510081633925,0.5155757220461965,5.194710839912295,1.6623107189312578,2.9535397820174696,0.8186531355604529,0.6395892,272.4,18.2,4.2,0.6887,0.6,1.5336560000000001,184.0,27.4,7.6,1483.1603360196946,1490.4183697393678
6,0.0,1528.3409461434233,1525.1579927357561,1,1.0,0.6,1.2279316,0.9655722000000001,16.6,13.4,2.4,2.8,0.0,0.0,13.8,9.2,1.0354287270456553,0.8202889692038298,4.554566121473909,3.2036743646487595,2.787526985630393,1.839171983115375,0.9655722000000001,267.0,18.0,4.6,1.1526599999999998,1.0,1.2279316,193.6,27.0,6.8,1494.8285252483793,1499.449968286519
7,1.0,1498.0661155420742,1572.9540929613806,0,1.0,0.8,1.0939561999999998,0.9076496000000001,15.8,11.8,2.0,3.0,0.0,0.0,13.0,9.6,0.9054618865251541,0.8230836546048522,4.388230352662504,2.981286340393126,2.670179236494005,1.8249203938990832,0.9076496000000001,269.2,20.0,4.2,1.2292200000000002,1.2,1.0939561999999998,219.6,29.0,6.6,1500.326650883466,1510.040786878795
8,3.0,1502.311470932713,1553.5961595778047,1,1.6,0.8,1.4510542,0.9292152,17.6,11.8,2.0,3.2,0.0,0.0,14.2,9.8,1.0205378465354442,0.8509324545040726,4.669352003745734,3.0865767534822224,2.5934591425582765,1.9041408270597457,0.9292152,254.8,20.2,4.6,1.14736,1.0,1.4510542,239.8,29.6,6.2,1502.108634385503,1528.9097162040725
9,1.0,1542.4405949811676,1547.0150463613031,0,1.6,1.2,1.4664182000000001,1.0937692,16.8,11.2,2.4,3.2,0.0,0.0,13.6,8.4,0.9011189233511686,0.7271924752742052,3.8187915658578278,2.852244572341442,2.1059934152290225,1.6641060434281827,0.9415092000000002,253.2,22.2,4.4,1.27372,1.4,1.3141576000000001,214.4,28.0,6.8,1512.3083482791485,1543.7085420880614
10,0.0,1512.835562041994,1580.1507991521178,1,1.0,1.4,1.1705314,1.4381894000000002,16.6,12.2,2.6,3.2,0.0,0.0,13.8,9.8,0.7013729793950916,0.9940854541957378,2.70611976813525,3.894815284572542,1.5243921855464577,2.0951786283403635,1.2859294000000001,263.0,20.2,4.0,1.7257000000000002,2.0,1.0182708,199.6,27.0,7.4,1516.7989379282742,1555.7748181576724
11,2.0,1496.6627686630084,1466.8207681979593,0,1.4,1.2,1.6259798,1.2952054,16.4,12.2,3.0,2.6,0.0,0.0,13.8,10.0,1.0600929083302617,0.861703178845346,4.08147702049464,3.0106932213529944,2.382002248056233,1.4716389950364828,1.1429454,252.0,20.0,4.0,1.2947000000000002,1.4,1.4737192000000001,186.6,27.4,7.8,1510.4633024321915,1544.1073732501131
12,4.0,1514.9491370432909,1498.9438225213742,0,2.0,1.0,2.1157572,1.577366,17.4,12.0,3.0,2.6,0.0,0.0,14.4,9.6,1.4549427589401602,1.0371840592473744,5.314978141710162,4.145611145533621,2.75013035684824,2.23458510376513,1.425106,247.0,20.8,4.6,1.1397,1.2,1.9634965999999998,189.0,26.8,8.8,1513.8399067324349,1529.3053191621118
13,0.0,1550.722845595272,1684.6683732087042,1,1.4,1.0,1.609404,1.6000824000000002,13.8,13.0,3.0,2.6,0.0,0.0,11.6,10.4,1.204470538161695,1.0551227850839495,3.9993583973497153,4.128100879117847,2.0434409864246845,2.2284640450030566,1.4478224,236.0,21.8,4.6,1.39364,1.4,1.4571434,191.4,27.6,7.4,1523.5221816649466,1555.5197618882917
